"","fldCruiseName","fldCruiseStationNumber","fldShotLonDecimalDegrees","fldShotLatDecimalDegrees","fldShotShipsHeading","fldShotDepth","Warp_m","fldGearCode","SweepLngt_m","fldValidityCode","fldWindSpeed","ObsHeave_m","ObsPitch_deg","ObsRoll_deg","door_dist_Median","door_dist_sd","wing_dist_Median","wing_dist_sd","TS_fish_density_Median","TS_fish_density_sd","TS_opening_Median","TS_opening_sd","TS_clearance_Median","TS_clearance_sd","TS_height_Median","TS_height_sd","TEY_fish_density_Median","TEY_fish_density_sd","TEY_height_Median","TEY_height_sd","TEY_opening_Median","TEY_opening_sd","TEY_clearance_Median","TEY_clearance_sd","TSP_along_speed_Median","TSP_along_speed_sd","TSP_across_speed_Median","TSP_across_speed_sd"
"44","IGFS2018",54,-11.417,53.832,215,262,773,"101010101","L","V","21",5.21,7.1,5.21,132.19,1.4311136186607,24.88,0.488967763440711,0,0.832050294337844,3.88,0.164560486892066,0,0.0180906806746658,3.81,0.147674277745626,0,0.577555549291824,3.75,0.152605675069743,3.72,0.216626693145158,0,0,2.3,0.356819503534724,-0.06,0.0268618311180473
"45","IGFS2018",55,-12.125,53.466,19,319,923,"101010101","L","V","21",3.21,6,3.21,135.25,2.2737363746594,25.5,0.270687051361356,0,1.12712795319232,3.81,0.843734563532057,0,0.0970753837849035,3.81,1.33000457272204,0,1.34053582460011,3.69,0.211013986710642,3.69,0.216877790137973,0,0,2.14,0.320978928478915,-0.01,0.0241048774156255
"46","IGFS2018",56,-11.897,53.608,41,299,882,"101010101","L","V","19",3.7,5.46,3.7,133.88,1.73093976782633,25.25,0.283784984387858,2,1.20820341466623,3.94,0.508823276946241,0,0.29238141157136,3.94,1.30476059352795,0,0.921375426478742,3.75,0.638842256732512,3.75,0.105022575388002,0,0.696428083072884,2.09,0.132844796183447,-0.05,0.0272848869514371
"47","IGFS2018",57,-11.64,53.448,212,200,622,"101010101","L","V","29",4.45,10.88,4.45,126.63,1.50207219033948,24.13,0.486169079795969,1,1.90794647206355,4.06,1.39572649148191,0,0.111901408095206,4,1.75714852170165,0,0.695895841619667,3.81,0.261637199935796,3.81,0.306432660807813,0,0,2.2,0.444840686734865,0.04,0.0217536677587461
"48","IGFS2018",58,-11.903,53.276,214,220,663,"101010101","L","V","28",4.32,9.63,4.32,127.94,4.50517630830009,24.38,0.769086950118194,2,1.30701063416831,4.44,0.355814928239239,0,0.0483589273928388,4.44,1.6036062103418,0,0.936718248696521,4.19,0.387536317218297,4.19,0.353643389574956,0,0,1.88,0.387454525085214,-0.04,0.0399166284860112
"49","IGFS2018",59,-12.013,53.27,183,248,745,"101010101","L","V","20",4.3,10.5,4.3,133.66,2.81418556268162,25.13,0.742800782850289,1,1.41754953834327,4.06,0.916799553209439,0,0.0263427294322246,4.03,0.611446496020894,0,0,3.81,0.346390463318228,3.81,0.343226813872027,0,0,2.15,0.301637335167935,-0.05,0.0403582986575425
"50","IGFS2018",60,-10.942,53.079,292,134,450,"101010101","L","V","33",5.95,4.28,5.95,116.44,2.91167666238507,22.88,0.399846498951,3,1.13816716888219,4.31,1.12961522563491,0,0.278713703440643,4.31,1.05022543188547,0,1.46180008085679,4.13,0.37789999496209,4.13,0.332840721911094,0,0.176524231153612,1.99,0.122677716356465,0,0.0768668905025124
"51","IGFS2018",61,-10.876,53.406,23,139,462,"101010101","L","V","27",4.62,12.33,4.62,114.63,2.36473487484679,22.25,0.431141177238663,5,1.99163944795067,4.345,45.4311227135587,0,1.53556462719839,4.44,46.7019483576916,0,1.57344611018196,3.88,0.775675252034224,3.88,0.297938733069062,0,0.559979234903364,2.13,0.160900861593185,0.03,0.652539249838257
"52","IGFS2018",62,-10.378,53.695,25,95,366,"101010101","L","V","35",7.07,8.91,7.07,112.88,3.1097110061678,22.63,1.26848791859577,1,1.90958182471589,4.25,24.0791191015559,0,0.210662110656686,4.25,19.5101580201318,0,0.838731563285422,3.88,0.53542490787956,3.88,0.358796279054366,0,0.390285622909697,2.23,0.2315826315999,-0.06,0.106294023789107
"53","IGFS2018",63,-10.036,53.84,77,49,220,"101010101","L","V","25",2.63,3.46,2.63,79.06,3.89192605182282,20.94,0.58793435488198,1,2.0563171121404,4.38,3.02483367559567,0,0,4.38,2.901920061825,0,1.68970978674568,4.19,0.200243533674871,4.19,0.243134419125565,0,0,2.25,0.146925746039514,-0.13,0.117152972251263
